created_at,screen_name,text,lang,retweet_count,reply_count,like_count,quote_count,id,author_id,conversation_id,in_reply_to_user_id,geo,entities
2022-01-16T15:56:24.000Z,None,"Colour full

#KOREAQUEST_JISOO 
#블랙핑크지수 #지수 #JISOO #BLACKPINK https://t.co/0j3xZSasUJ",en,0,0,0,0,1482743547686440971,1470905051367366659,1482743547686440971,nan,nan,"{'urls': [{'start': 62, 'end': 85, 'url': 'https://t.co/0j3xZSasUJ', 'expanded_url': 'https://twitter.com/tmliap/status/1482743547686440971/photo/1', 'display_url': 'pic.twitter.com/0j3xZSasUJ'}], 'hashtags': [{'start': 13, 'end': 30, 'tag': 'KOREAQUEST_JISOO'}, {'start': 32, 'end': 39, 'tag': '블랙핑크지수'}, {'start': 40, 'end': 43, 'tag': '지수'}, {'start': 44, 'end': 50, 'tag': 'JISOO'}, {'start': 51, 'end': 61, 'tag': 'BLACKPINK'}]}"
2022-01-16T15:55:47.000Z,None,"Jisoo, ohh yes

#KOREAQUEST_JISOO 
#블랙핑크지수 #지수 #JISOO #BLACKPINK https://t.co/GPA83XIkIr",en,0,0,0,0,1482743394313322496,1470905051367366659,1482743394313322496,nan,nan,"{'urls': [{'start': 65, 'end': 88, 'url': 'https://t.co/GPA83XIkIr', 'expanded_url': 'https://twitter.com/tmliap/status/1482743394313322496/photo/1', 'display_url': 'pic.twitter.com/GPA83XIkIr'}], 'hashtags': [{'start': 16, 'end': 33, 'tag': 'KOREAQUEST_JISOO'}, {'start': 35, 'end': 42, 'tag': '블랙핑크지수'}, {'start': 43, 'end': 46, 'tag': '지수'}, {'start': 47, 'end': 53, 'tag': 'JISOO'}, {'start': 54, 'end': 64, 'tag': 'BLACKPINK'}]}"
2022-01-16T15:55:33.000Z,None,"“I hope I can spend this year with BLINKS as a healthy, #BLACKPINK-like Jendeuk. Always, thank you so much and thank you for all the precious birthday wishes👑💗”

HAPPY BIRTHDAY JENNIE
#OurStarJennieDay
#빛이나는제니_오늘제일빛나
#BLACKPINK @BLACKPINK",en,35,0,157,3,1482743334292848640,742988562652663809,1482743326176870404,742988562652663809,nan,"{'annotations': [{'start': 72, 'end': 78, 'probability': 0.9173, 'type': 'Person', 'normalized_text': 'Jendeuk'}, {'start': 179, 'end': 184, 'probability': 0.7998, 'type': 'Person', 'normalized_text': 'JENNIE'}], 'mentions': [{'start': 228, 'end': 238, 'username': 'BLACKPINK', 'id': '1273850774380883975'}], 'hashtags': [{'start': 56, 'end': 66, 'tag': 'BLACKPINK'}, {'start': 184, 'end': 201, 'tag': 'OurStarJennieDay'}, {'start': 202, 'end': 216, 'tag': '빛이나는제니_오늘제일빛나'}, {'start': 217, 'end': 227, 'tag': 'BLACKPINK'}]}"
2022-01-16T15:55:05.000Z,None,"kim RT ZoomTV: #Jennie has the most impressive set of abs and that's that! #BLACKPINK  

https://t.co/XI5K28qG4Y",en,0,0,0,0,1482743215396638731,116523772,1482743215396638731,nan,nan,"{'urls': [{'start': 89, 'end': 112, 'url': 'https://t.co/XI5K28qG4Y', 'expanded_url': 'https://www.zoomtventertainment.com/web-stories/celebrity/blackpinks-jennie-has-killer-abs/photostory/88929917.cms', 'display_url': 'zoomtventertainment.com/web-stories/ce…'}], 'hashtags': [{'start': 15, 'end': 22, 'tag': 'Jennie'}, {'start': 75, 'end': 85, 'tag': 'BLACKPINK'}]}"
2022-01-16T15:54:51.000Z,None,"Only for jisoo

#KOREAQUEST_JISOO 
#블랙핑크지수 #지수 #JISOO #BLACKPINK https://t.co/URdsPU8WLP",en,0,0,0,0,1482743157725233152,1470905051367366659,1482743157725233152,nan,nan,"{'urls': [{'start': 65, 'end': 88, 'url': 'https://t.co/URdsPU8WLP', 'expanded_url': 'https://twitter.com/tmliap/status/1482743157725233152/photo/1', 'display_url': 'pic.twitter.com/URdsPU8WLP'}], 'hashtags': [{'start': 16, 'end': 33, 'tag': 'KOREAQUEST_JISOO'}, {'start': 35, 'end': 42, 'tag': '블랙핑크지수'}, {'start': 43, 'end': 46, 'tag': '지수'}, {'start': 47, 'end': 53, 'tag': 'JISOO'}, {'start': 54, 'end': 64, 'tag': 'BLACKPINK'}]}"
2022-01-16T15:54:10.000Z,None,"Black

#KOREAQUEST_JISOO 
#블랙핑크지수 #지수 #JISOO #BLACKPINK https://t.co/aJX3ckRvxe",en,1,0,1,0,1482742985578389506,1470905051367366659,1482742985578389506,nan,nan,"{'urls': [{'start': 56, 'end': 79, 'url': 'https://t.co/aJX3ckRvxe', 'expanded_url': 'https://twitter.com/tmliap/status/1482742985578389506/photo/1', 'display_url': 'pic.twitter.com/aJX3ckRvxe'}], 'hashtags': [{'start': 7, 'end': 24, 'tag': 'KOREAQUEST_JISOO'}, {'start': 26, 'end': 33, 'tag': '블랙핑크지수'}, {'start': 34, 'end': 37, 'tag': '지수'}, {'start': 38, 'end': 44, 'tag': 'JISOO'}, {'start': 45, 'end': 55, 'tag': 'BLACKPINK'}]}"
2022-01-16T15:53:48.000Z,None,"Jisoo y Treasure ganaron en los 🔥""2ND DDU KOREAN DRAMA AWARDS THAILAND""🔥, en las categorías:

✨Best New ACTRESS - Jisoo
💎Best Web Drama - Treasure

#BLACKPINK #JISOO #TREASURE https://t.co/1nEsnAR7Xj https://t.co/yGeSAlC3BU",en,1,0,2,0,1482742893202665475,1396563509241069576,1482742893202665475,nan,nan,"{'urls': [{'start': 176, 'end': 199, 'url': 'https://t.co/1nEsnAR7Xj', 'expanded_url': 'https://twitter.com/Blink_DarkLove8/status/1482742893202665475/photo/1', 'display_url': 'pic.twitter.com/1nEsnAR7Xj'}, {'start': 176, 'end': 199, 'url': 'https://t.co/1nEsnAR7Xj', 'expanded_url': 'https://twitter.com/Blink_DarkLove8/status/1482742893202665475/photo/1', 'display_url': 'pic.twitter.com/1nEsnAR7Xj'}, {'start': 200, 'end': 223, 'url': 'https://t.co/yGeSAlC3BU', 'expanded_url': 'https://twitter.com/Blink_DarkLove8/status/1482200347154300930', 'display_url': 'twitter.com/Blink_DarkLove…'}], 'hashtags': [{'start': 148, 'end': 158, 'tag': 'BLACKPINK'}, {'start': 159, 'end': 165, 'tag': 'JISOO'}, {'start': 166, 'end': 175, 'tag': 'TREASURE'}]}"
2022-01-16T15:53:40.000Z,None,"Jisoo best new actress

#KOREAQUEST_JISOO 
#블랙핑크지수 #지수 #JISOO #BLACKPINK https://t.co/VfUTQbGmEW",en,0,0,0,0,1482742861385060353,1470905051367366659,1482742861385060353,nan,nan,"{'urls': [{'start': 73, 'end': 96, 'url': 'https://t.co/VfUTQbGmEW', 'expanded_url': 'https://twitter.com/tmliap/status/1482742861385060353/photo/1', 'display_url': 'pic.twitter.com/VfUTQbGmEW'}], 'hashtags': [{'start': 24, 'end': 41, 'tag': 'KOREAQUEST_JISOO'}, {'start': 43, 'end': 50, 'tag': '블랙핑크지수'}, {'start': 51, 'end': 54, 'tag': '지수'}, {'start': 55, 'end': 61, 'tag': 'JISOO'}, {'start': 62, 'end': 72, 'tag': 'BLACKPINK'}]}"
2022-01-16T15:53:21.000Z,None,Let’s go😂😂 #Tonga #fiji #eruption #Coquimbo #BLACKPINK #Antofagasta https://t.co/4dvcN9A0dj,en,0,0,0,0,1482742780522901504,1455934922510721025,1482742780522901504,nan,nan,"{'urls': [{'start': 68, 'end': 91, 'url': 'https://t.co/4dvcN9A0dj', 'expanded_url': 'https://twitter.com/1realestgee/status/1482742780522901504/photo/1', 'display_url': 'pic.twitter.com/4dvcN9A0dj'}], 'hashtags': [{'start': 11, 'end': 17, 'tag': 'Tonga'}, {'start': 18, 'end': 23, 'tag': 'fiji'}, {'start': 24, 'end': 33, 'tag': 'eruption'}, {'start': 34, 'end': 43, 'tag': 'Coquimbo'}, {'start': 44, 'end': 54, 'tag': 'BLACKPINK'}, {'start': 55, 'end': 67, 'tag': 'Antofagasta'}]}"
2022-01-16T15:53:08.000Z,None,"HAPPY BIRTHDAY QUEEN !! 

#jennie #birthday #blackpink #purplehuv https://t.co/r0txItNJqU",en,1,0,2,0,1482742724617203715,1460921657036476421,1482742724617203715,nan,nan,"{'urls': [{'start': 66, 'end': 89, 'url': 'https://t.co/r0txItNJqU', 'expanded_url': 'https://twitter.com/huv_purp/status/1482742724617203715/video/1', 'display_url': 'pic.twitter.com/r0txItNJqU'}], 'hashtags': [{'start': 26, 'end': 33, 'tag': 'jennie'}, {'start': 34, 'end': 43, 'tag': 'birthday'}, {'start': 44, 'end': 54, 'tag': 'blackpink'}, {'start': 55, 'end': 65, 'tag': 'purplehuv'}]}"
